1;Y55 KanMX 
2;Y55 GFP 
3;Y55 mCh  
4;W303 KanMx 
5;W303 GFP 
6;W303 mCh 
7;Y55 KanMx  - Y55 GFP 
8;Y55 KanMx  - Y55 mCh 
9;Y55 GFP  - Y55 mCh 
10;W303 KanMx  - W303 GFP 
11;W303 KanMx  - W303 mCh 
12;W303 GFP  - W303 mCh 
13;Y55 KanMx  - W303 GFP 
14;Y55 KanMx  - W303 mCh 
15;W303 KanMx  - Y55 GFP 
16;W303 KanMx  - Y55 mCh 
17;Y55 GFP  - W303 mCh 
18;Y55 mCh  - W303 GFP 
X;BackGround
